USR_ID,USR_NAME,USR_DESC,USR_CREATED_DATE,USR_CREATED_TIME,USR_FOLLOWERS,USR_FRIENDS,USR_STATUS
199216733,Sibusiso Ntshangase??,"A real man is confident in who he is, not in what he has."" #JesusChristIsLord! A life story told through tweets... Jeremiah29:11",2010-10-06,9:35:54,3587,3587,
222611753,Mark Thomson,,2010-12-03,22:47:09,1060,1060,
1.10838E+18,Tom Cruise,Actor. Producer. Running in movies since 1981.,2019-03-20,14:40:38,72,72,
7.51236E+17,AmandasPicShowAGoGo,Film podcast from @mandaailey covering everything but horror\nNew episodes 2x a week\nSister pod to @CulturePopAGoGo @TheMafiaMinute @CriterionCrack\n#LadyPodSquad,2016-07-08,2:05:33,1007,1007,
2243367863,Robert,Husband and Father... Motorsport Addict!,2013-12-25,15:22:56,114,114,
69730756,Snips,"Passion for motorcycle racing/riding/travelling, runs on 1664 & like to #live2max #motogp #bsb #wsbk #iomtt #nw200 #brit_riders #adv_rider @biketoursuk",2009-08-28,23:55:14,746,746,
85818367,Aninda Sardar,Husband. Father. Friend. Traveller. Chronicler. Story teller. Reader. Believes in liberal humanism and in humanity.,2009-10-28,13:35:10,870,870,
2231267989,John Stevenson,Motor racing fan,2013-12-05,10:18:02,606,606,
529850415,Clive Walton,,2012-03-19,23:18:15,79,79,
2563460949,Marko,,2014-05-25,13:26:43,94,94,
136992850,Viffer12,,2010-04-25,13:36:22,1130,1130,
302702394,Mr Mo Jo Risin :-),"IM 3/42? I ? My Children?? All living creatures Except Wasps?? I ?bike racing :-) ?? I Dont trust the Media,??Politicians?? or Weathermen! \n6 58 18 48 74 52 69",2011-05-21,16:27:46,1807,1807,
7.04725E+17,Jesse Graham,"Focus, Commitment, Sheer Fuccin Will. #TheEssentials",2016-03-01,17:46:31,479,479,
270819857,Magneto,"I tweet a lot....some years ago, one of them was funny!\n\nhttps://t.co/BTHORFBnHY\nhttps://t.co/z5fOGIuR5p",2011-03-23,9:28:45,440,440,
36309760,Brad Dew,World of Motorcycle racing -soup & scoop- #MotoGp - #Moto2 - #Moto3 - #MotoAmerica - #SBK - #WorldSSP #BSB - #LoveTT,2009-04-29,7:13:40,2297,2297,
23618134,Bennetts British Superbike Championship,The Official Twitter account for the Bennetts British Superbike Championship. For all insurance enquiries please tweet @bennetts_bike,2009-03-10,17:16:43,845,845,
194572083,Melanie Mitchell-Smith,,2010-09-24,13:30:07,293,293,
2443006233,Francky Longo ???? #29,Servo del Popolo ????\nAtleta OCR-Trail ??\u200d??\n\nKawaliere di Akashi \nAmante delle corse Motociclistiche su strada,2014-03-28,22:01:21,1353,1353,
1.10814E+18,josh taylor,Bikes bikes and more bikes bsb MotoGP TT love the racing and you’ll find me at most tracks ??????,2019-03-19,22:56:48,212,212,
634833505,?? Lynne Gee ????+??=?,"Dyed-in-wool biker, racing fan, former race marshal. Politically homeless. I support the #Police, #NHS and #JuniorDoctors. RTs not agreement.",2012-07-13,20:02:28,3732,3732,
550933750,Jonathan Shen,Foodie ??????????/???? Lover | Photographer???? | Cars ?? | NFL junkie ??| Power Rangers ??| Tech \uf8ff ????| Outdoors?????????,2012-04-11,12:02:22,2668,2668,
1.04005E+18,Udemy courses coupons,Udemy Coupon #RealDiscount #UdemyDeals https://t.co/i64xa6Nyjt #UdemyCoupon #Blog #UdemyDiscountCoupon #Udemy #eLearning #UdemyFree #UdemyReview #CouponUdemy,2018-09-13,1:29:55,4829,4829,
2593553636,Rachel Dreyer,"Often the greatest attribute a Real Estate Agent can possess is personal experience, something that Rachel Dreyer has plenty of.",2014-06-28,19:22:47,34,34,
371079026,NorlidaRathi,I'm trying to be the best version of me.. DB7,2011-09-10,4:46:29,520,520,
317396953,Lolly??,"Adore animals|Animal rights & environmental activist|Mom to Cotton, a mini American Eskimo. My beloved Starlight died 8/26/18. Work hard to make life great??",2011-06-14,21:40:21,15970,15970,
3407302108,Carol fenemore,"love family nature/steam fairs exhibiting vintage caravan,birds Swallows :Anglesey:my dogs Max and Millie, playing Uke ,annoying hubby ?? & watching Federer ??",2015-08-07,14:01:25,236,236,
134773425,Patricia Bacani ?,21 and only halfway sober || DLSU-M,2010-04-19,11:59:28,184,184,
2273534046,Thomas Ramos,The Master,2014-01-02,20:43:58,110,110,
9.78983E+17,Max,The Beautiful Game • Wannabe #SEO Guru • Little Fish in a Big Pond,2018-03-28,13:12:01,172,172,
2256021501,Benji the Tibetan ??Ranger & Crystal,I'm a Boshanti TT I like to destroy my toys. Love ball games and most of all treats. Member of #TheRuffRiderz #weetigang,2014-01-01,10:19:02,717,717,
9.08608E+17,Laura SandemanBarlow,only one Wolf may enter????????Tundra,2017-09-15,8:25:26,1874,1874,
243574727,R Y L,"23 ??\n|\nfuture female director thoughts, scroll up if you wanna read. #lawofattraction\n|\nkeeping it real since '95",2011-01-27,10:29:09,1116,1116,
2290232831,kelpie,,2014-01-18,19:19:14,494,494,
929671819,Daine Burnett,Principal - St Pius X Catholic Primary School,2012-11-06,12:50:25,663,663,
1901188604,Vintage-Dutch-Clocks,Clocks,2013-09-24,17:18:08,860,860,
3190564878,Kristi Brana,Something for everyone SALE up to 50%off 3+ in shopping cart extra20%off every month NWT & LOOKS & LIKE NEW Donating10% global shipping USA Free shipping #Ebay,2015-05-10,9:01:08,1756,1756,
4350214940,CHALLENGERS CONSTRUCTIONS,challengers Constructions Group is residential Building and construction Company which was stablished on 2008 and active in house building industry on Sydney,2015-11-25,0:15:44,1362,1362,
1524497648,graphic design,All things belgium graphic & web design,2013-06-17,10:23:56,1265,1265,
3417697337,Pat waterhouse,working as hard as i can to make dog theft a serious crime and to make scanning of chips compulsory . thanks for all yr RTs .,2015-08-12,11:57:19,1136,1136,
9.32222E+17,Mihai Brinas,"#AUTHOR. I #love #life,#poetry,#reading.I #like to enter sometimes the #town #library to stroke the #books with my #look to #touch them with my hand while...",2017-11-19,12:20:09,5628,5628,
9.33034E+17,Nicola & KatieKat ??,love all things cute and furry????????,2017-11-21,18:06:05,761,761,
273916492,Mina Opada,Software Engineer. MBA in transit. Long-term thinker. Risk taker. Avid planner. | writer at @craftedserendip,2011-03-29,11:24:48,555,555,
8.47421E+17,Crafted Serendipity,"Relevant articles about Tech, Programming, Travel, Business, Education, Productivity, and Lifestyle from Intellectual Millenials ???? #SmartIsSexy",2017-03-30,12:10:09,27,27,
1025339594,diane mailer,love animals,2012-12-21,0:46:16,376,376,
3336927771,Debby Morris,"Parent, Pawrent, Crazy dog lady, own business, Homechecker, zombie killing Pratchett fan, #adoptdontshop #EndBSL",2015-06-20,14:21:12,3306,3306,
791383616,Decorum Dog Walking,"Decorum Dog Walking and Pet Care Service provide a complete home from home care service for your pets. Contact me for friendly, reliable, professional service.",2012-08-30,11:21:13,4303,4303,
2885601985,Adam Jurecki??™,"""Peace, Love, Positivity"" - Logic #Rattpack",2014-10-31,19:15:18,180,180,
396450510,Phyl,Now partially retired but still working in central London. Sometime bowler and now sec EBUA! Provider of food to two cats & husband. AND proudly Cornish!,2011-10-23,8:56:06,382,382,
9.38283E+17,Jack-Dog,"Wilful daft loved Airedale living in Surrey woods with HooMummy, himself, HooSis, Henry?? Dereka ?? Smaug?? + ???? *sorry my timeline is canine only*",2017-12-06,5:45:25,540,540,
1166102780,Lesley Lawrence,,2013-02-10,14:42:35,1101,1101,
9.82377E+17,Sarthak Patil ???,?? Windows User\n?? Helpful Tips For Windows To Make Life Easy,2018-04-06,21:59:56,118,118,
9.26309E+17,Nick Ramos,,2017-11-03,4:44:59,108,108,
9.19081E+17,Scharifah,Be good to me then ill be good to you,2017-10-14,6:02:50,94,94,
7.38072E+17,Tutorials Website,Tutorials Website provides all types of course tutorials for students online. Online education of different types of technologies and programming language,2016-06-01,18:16:12,2201,2201,
8.609E+17,GoSearchTravel,"Dream, Explore, Compare, GO!",2017-05-06,16:51:04,36,36,
387247563,Keith Maxwell,"Husband, dad. Was Primary School Teacher, now #amwriting #kidlit. Love Rosie cocker spaniel and other dogs. Kauto Star, Cornwall, Somerset, Spurs, Yeovil Town.",2011-10-08,18:27:22,3322,3322,
3773019554,Ellie Douglas Author,Published horror author of seven books with more on the way :) https://t.co/lnhv6UoVME All of my books here: https://t.co/JXX0yvnaqT Proud member of #RRBC,2015-10-03,19:07:47,14320,14320,
2635118540,Pat Kearney,Business Development Executive ???? LinkedIhttp://www.linkedin.com/in/patrick251161HB,2014-07-13,6:15:50,3446,3446,
455388513,Tani,,2012-01-05,2:03:18,157,157,
7.35605E+17,Bohemian Girl Arts,"My name is Kris and I am the Bohemian Girl at Bohemian Girl Arts. I love beading,  and I hope it shows in my jewelry creations. Hope you enjoy my art.",2016-05-25,22:53:53,4811,4811,
70745320,Laura Yip,My brain is a bouncy castle and I'm the kid word-vomiting in the corner.,2009-09-01,18:12:49,450,450,
9.79586E+17,Kwadwo Boye Boakye,,2018-03-30,5:09:00,30,30,
3966783674,Alex Paljetak,Teacher at St Pius X School. Technology in teaching guru (or getting there) !,2015-10-21,7:37:10,270,270,
1261657130,Admin,3 Year Old Kindy - Year 6  Catholic Primary School Manning WA\n#SEARCHing,2013-03-12,10:28:44,63,63,
255662873,Nichol-Plated,Nichol-Plated Productions & Pictures #SupportIndieFilm,2011-02-21,20:30:37,601,601,
2797974642,Bertie and Alfie WFT's,Lover of North Norfolk especially Blakeney and wire haired fox terriers!!,2014-09-08,14:23:29,2967,2967,
247889018,HOMER SMILEY,(LUST FOR LIFE)                               Photographer,2011-02-05,19:56:42,2080,2080,
1451080872,Anita Robertson,"curry connoisseur,horse lover,animal lover,paranormal and spiritual interest and i am a parent.",2013-05-23,10:21:42,3218,3218,
549180354,??luggages??,??????????,2012-04-09,9:49:38,454,454,
542127520,Amazon_JapaneseManga,"Introduce Mangas, which were most popular in Japan few months ago, from http://t.co/wKn2D0ApZy. U can see an image and reviews. Thx.",2012-04-01,1:18:07,629,629,
8.70321E+17,2HotTravellers,"Good, better, best. Never let it rest. 'Til your good is better and your better is best??/ F2F /  Travel blogger @2hotTravellers / CEO https://t.co/mKtjwb2SLd",2017-06-01,16:48:17,116,116,
9.20789E+17,Maryah??,Fb: Maryah Dumas \nSc: maryymaryyd\nInsta: missysmotivation,2017-10-18,23:08:47,3000,3000,
3424107519,AlmaLusa Hotels,"Located in the heart of #Lisbon, AlmaLusa is a Boutique #Hotel, with Delfina restaurant, offering the authentic Portuguese experience. Tag us #AtAlmaLusa ????",2015-08-15,14:32:38,321,321,
724364101,JonDav63,"Born in Bolton, living in exile on the Welsh Riviera.\nLove Road Cycling, McLaren, BWFC, Washington Redskins and Ducks, Hate Creme Caramel.",2012-07-29,17:43:07,1803,1803,
8.08377E+17,Beth's Treasure Hunts!,"Paintings,Hand made, fashion  and everything under the sun. I support small businesses. Retweet  and I'll retweet back.Visit: https://t.co/tb2djI7aG4",2016-12-12,18:25:45,5067,5067,
3622787654,Carole Hagen,Email Address is redblackteddybear@gmail.com,2015-09-20,3:40:15,1747,1747,
4884526367,Veronica Lamb & pets!  ?? RIP sweet Austin ??????,"I live near the sea with 2 dogs & 6 cats. I knit, crochet & make cards & jewellery. I opened my Folksy shop in January 2016. I block porn accounts.",2016-02-07,11:37:42,4521,4521,
2387315840,Pembs Farm B + B,"Relaxed informal b & b offering a country house-party feel to guests; play croquet + have tea on the lawn, or sit in front of a roaring fire in the drawing room",2014-03-13,15:59:11,4998,4998,
9.97982E+17,Sarah Breen,Music Books Holidays Humor Memes Pop Culture Television Movies Entertainment,2018-05-19,23:28:18,195,195,
2717061902,Jess,,2014-08-08,12:58:50,1425,1425,
298043180,Nigel Barber,"Animal lover, self confessed nerd and quaffer of fine ales...",2011-05-13,15:23:03,388,388,
8.72103E+17,Angharad Taunton,#FBPE,2017-06-06,14:49:00,3165,3165,
456181811,melanie petty,,2012-01-05,23:46:06,293,293,
22536728,anne swift,,2009-03-02,21:28:06,3553,3553,
9.1782E+17,International Dog Rescue,"International Dog Rescue was set up after a visit to Romania in 2011, 5 years have been spent setting up the help to get these dogs in a better place in the UK",2017-10-10,18:31:52,1911,1911,
7.57137E+17,Shez ?? ?,#RT for all #missing / #stolen #pets  ?? Voice for the voiceless ?? #Transplant warrior ?? 20/4/16 ??  #Ostomy #NJ tube feeding,2016-07-24,8:54:56,3334,3334,
95498456,GrannyDeepSea,Thank you for coming to Earth! ?? Earth is a cell in the body of the LIVING UNIVERSE. Humanity’s job is to keep Her HEALTHY. We’re like the immune system.,2009-12-08,20:42:38,1189,1189,
7.76383E+17,Intelligent Traveler,This is an automatic service for #retweet #travel and #holidays suggest. Follow and mention @IntelliTraveler if you need any retweet to our audience.,2016-09-15,11:31:52,7341,7341,
9.70635E+17,SyntycheDove,,2018-03-05,12:20:02,244,244,
8.75397E+17,set,svart metall..,2017-06-15,16:59:12,792,792,
8.72566E+17,Susan Carole Barker,Co-op Member Pioneer supporting local community causes #TheCoopWay #beingCoop. All views & retweets reflect my personal interests.,2017-06-07,21:30:01,454,454,
323399358,JulieS,Love all animals.Old enough to know better just young enough to do it again,2011-06-24,19:21:48,102,102,
1.05703E+18,Janine Kerr,NHS worker with a particular interest in Diabetes love the outdoors. Massive animal lover want to help all missing and stolen animals,2018-10-29,21:58:16,81,81,
1270794739,Lisa & Millie,,2013-03-15,21:48:22,350,350,
262155242,amber,Stolen/lost/missing pets will always be RT'd if I see them on my twitter feed as that 1 rt may reunite somebodies beloved pet.????????????????,2011-03-07,13:37:00,4203,4203,
615544929,chris towers,North West doglost volunteer.             Help for Heroes supporter.#ScanMe,2012-06-22,19:36:29,3811,3811,
4728912855,Minerva58 ??#nhslove??,,2016-01-06,23:01:35,510,510,
2498232431,sophie,Support Yeovil Town and England ??\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f??Play for Pen Mill Ladies ??. Love music ??,2014-04-20,22:14:57,3850,3850,
21199289,gellie,"Animal Lover, Love my dog and 4 cats. My views are my own",2009-02-18,14:19:21,2736,2736,
527485870,Jasmine ??,Hi I'm Jasmine a Springerdoodle. An honorary member of #SausageArmy. I'm 'TTJ' aka 'The Tiger Jasmine' and ride with #TheRuffRiderz & a member of #pigposse,2012-03-17,14:03:55,1835,1835,
7.41963E+17,Christina Kelly,"animal lover, vegetarian and a Liverpool supporter",2016-06-12,11:59:50,4974,4974,
9.30512E+17,Lost pets missing and stolen,"An animal lover who wants to help all the missing, stolen and lost animals",2017-11-14,19:03:53,218,218,
9.7319E+17,colliealert,"Searching for lost & stolen collies tag us and we will share for any missing, lost or found animal ??????????????https://t.co/v1cSemFFJ2",2018-03-12,13:30:35,838,838,
1.03382E+18,Harry Maxwell,"I'm a huge fan of #TheLoudHouse. I also dream of becoming an artist, writer, director, editor and voice actor for The Loud House.",2018-08-26,20:50:49,404,404,
430956193,Neil Shapiro,"Digital #Marketing Analyst, #NewYork, #MBA #GoogleAnalytics, #Fiverr, #LowCostAnalytics https://t.co/LD9z9oCbv3 https://t.co/025ZpOceQU\nhttps://t.co/gtq98xsvsl",2011-12-07,19:12:04,2533,2533,
15744226,NEILSHOTDEALS,"Check out what I sell on for a quick #flip  eCommerce consultant. #eBay marketing specialist,  #2018FlipChallenge #Fiverr  https://t.co/LD9z9oCbv3",2008-08-06,1:11:37,2654,2654,
162744835,Momenul Ahmad SEOs,"SEO,SEO Consultancy,SEO Copywriting,SMM,SEM,SMO, Marketing,Content Marketer https://t.co/mAWZXwoFFm  I help biz's To Gen Lead & Love Social Networking.",2010-07-04,15:15:31,3657,3657,
2559879974,Rich Honess,Senior Lecturer in Policing @CanterburyCCUni #cccupolice L&D coordinator for the @Society_EBP Former MPS Sgt (All Tweets are my own opinion),2014-06-10,20:34:24,2822,2822,
4490409197,CCCULibrary Research,"News and info on all things research! Open access, repositories, data, copyright, altmetrics, impact and more! Claire & Kathy write the tweets. ??????",2015-12-15,9:05:19,490,490,
1292272099,Go to Lisbon,Go 2 Lisbon  Individual Tours in Portugal,2013-03-23,19:15:24,27,27,
7.90843E+17,VeerPump,"VEER PUMP  was manufacturer & exporter of V3, V4, V6, V8, Openwell Submersible Pump, Submersible Kit and Motor Spare Parts Manufacturers in Ahmedabad, India.",2016-10-25,9:09:12,140,140,
1.07528E+18,Cash Flow Investors Portal,Cash Flow Investors Portal is a renown Real Estate company in USA. We have built a platform that incorporates the two worlds together.,2018-12-19,6:52:22,1,1,
4714580717,The Businesses Community (TBC St Albans),"Working with local businesses in and around St Albans. Supporting, sharing ideas and shouting about successes. We also run regular get togethers called Jellys",2016-01-05,12:17:39,341,341,
15664534,Cynthia Basinet,#Stalkarazzi #InTheStyle #Eventually #AllOfMe #Nobel nom #Crooner #Actress #Top10 #SantaBaby @billboard “ #StrikeBBH #IPAintFree #FeedMe @iTunes,2008-07-30,19:14:56,6009,6009,
1497176288,Lewis Kinslayer,I'm just another opinionated person.  Talk to me.  I don't bite... unless you ask... nicely.,2013-06-10,2:37:06,319,319,
1.09323E+18,Queen_gaga_enigma,Edits of Lady Gaga ?\n\nPaws up little monsters ??\n\nWe need fantasy to survive because reality is too difficult - Lady Gaga ?\n\nInstagram: queen_gaga_enigma,2019-02-06,19:20:38,211,211,
405999791,cathe,??Bq • Gott wird sorgen?????,2011-11-06,3:27:18,211,211,
3615601933,Khentoy ???\u200d??,ukkkkkuuuurrrttttt,2015-09-19,11:45:08,1521,1521,
1.05229E+18,the novel coffee shop,open Monday’s to fridays 0930 - 1600 hrs,2018-10-16,20:24:23,581,581,
22502280,???????????? ??,Liberal Democrat. Feminist. Ravenclaw. Hockey. Film/TV. Tarot. Chronic illness. #AStarIsBorn obsessed. #WaywardAF #WeAreAradia #StrongerTogether #JeremyBearimy,2009-03-02,16:41:37,1561,1561,
1.08875E+18,Film&Friends,"Film & Friends is a new way to enjoy a film and chat about it over free tea and coffee afterwards, in partnership with SECE Mind & Odeon Southend.",2019-01-25,10:35:55,34,34,
34022477,Jon Schwenzer,"NYCer residing in Annapolis. Broadcast/Cable pro, freelance writer & SatelliteNewsgathering Bureau Chief. Carolina grad = rabid TarHeel fan ????https://t.co/Fwd0K9KS1E",2009-04-21,20:07:14,193,193,
